Target,FeatureSet,Model,n_feat,R2_5fold,RMSE_5fold,LOO_R2,LOO_RMSE,LOBO_R2,LOBO_RMSE,BIC,HPO
YS,S1_grain,OLS,2,0.4513,60.0859,0.4512,60.0902,0.3936,63.1632,775.4,none
YS,S1_grain,Ridge,2,0.4513,60.086,0.4512,60.0903,0.3936,63.1632,775.4,optuna-25
YS,S1_grain,ElasticNet,2,0.4513,60.086,0.4512,60.0903,0.3936,63.1632,775.4,optuna-25
YS,S1_grain,SVR (RBF),2,0.4763,58.6993,0.503,57.1844,0.3929,63.2008,,optuna-25
YS,S1_grain,KRR (RBF),2,-10.5142,275.2352,-10.5156,275.252,-10.6546,276.9076,,optuna-25
YS,S1_grain,Random Forest,2,0.3501,65.3889,0.3259,66.5938,0.314,67.1796,,optuna-25
YS,S1_grain,XGBoost,2,0.3178,66.9945,0.2966,68.0271,0.288,68.4412,,optuna-25
YS,S1_grain,LightGBM,2,0.3511,65.3419,0.2744,69.095,0.273,69.159,,optuna-25
YS,S2_wen,OLS,8,0.6887,45.253,0.6716,46.4813,0.5816,52.469,754.9,none
YS,S2_wen,Ridge,8,0.6893,45.2147,0.6716,46.4843,0.5905,51.9031,754.9,optuna-25
YS,S2_wen,ElasticNet,8,0.6893,45.2142,0.6715,46.4889,0.5959,51.5648,754.9,optuna-25
YS,S2_wen,SVR (RBF),8,0.6494,48.0263,0.6444,48.3676,0.5648,53.5094,,optuna-25
YS,S2_wen,KRR (RBF),8,-10.2994,272.6554,-10.3139,272.8308,-10.0623,269.78,,optuna-25
YS,S2_wen,Random Forest,8,0.6122,50.5115,0.5839,52.3241,0.5696,53.212,,optuna-25
YS,S2_wen,XGBoost,8,0.644,48.3956,0.6027,51.1243,0.6059,50.9189,,optuna-25
YS,S2_wen,LightGBM,8,0.6514,47.8879,0.6249,49.6745,0.5895,51.9689,,optuna-25
YS,S3_wen_proc,OLS,11,0.6386,48.7619,0.6216,49.8963,0.4917,57.8265,781.6,none
YS,S3_wen_proc,Ridge,11,0.6408,48.6141,0.6235,49.771,0.5379,55.1362,781.2,optuna-25
YS,S3_wen_proc,ElasticNet,11,0.6436,48.4257,0.6236,49.7622,0.5512,54.3385,781.1,optuna-25
YS,S3_wen_proc,SVR (RBF),11,0.6034,51.0827,0.5997,51.3167,0.5077,56.9097,,optuna-25
YS,S3_wen_proc,KRR (RBF),11,-10.3744,273.5596,-10.4049,273.9256,-11.0122,281.1239,,optuna-25
YS,S3_wen_proc,Random Forest,11,0.6007,51.2527,0.595,51.6197,0.5742,52.9261,,optuna-25
YS,S3_wen_proc,XGBoost,11,0.6161,50.2546,0.5769,52.76,0.6134,50.4343,,optuna-25
YS,S3_wen_proc,LightGBM,11,0.6216,49.8924,0.5435,54.8061,0.5962,51.544,,optuna-25
YS,S4_phys,OLS,24,0.5651,53.4885,0.5314,55.5245,0.347,65.5474,860.4,none
YS,S4_phys,Ridge,24,0.6486,48.0851,0.6138,50.4073,0.5807,52.5238,842.5,optuna-25
YS,S4_phys,ElasticNet,24,0.6532,47.7656,0.6208,49.9497,0.5998,51.3107,840.8,optuna-25
YS,S4_phys,SVR (RBF),24,0.605,50.9788,0.615,50.3274,0.5283,55.7063,,optuna-25
YS,S4_phys,KRR (RBF),24,-10.6587,276.9566,-10.5896,276.135,-11.2125,283.4589,,optuna-25
YS,S4_phys,Random Forest,24,0.6041,51.0382,0.5854,52.2264,0.5788,52.6414,,optuna-25
YS,S4_phys,XGBoost,24,0.6042,51.033,0.5548,54.1214,0.5263,55.8259,,optuna-25
YS,S4_phys,LightGBM,24,0.6106,50.6178,0.5619,53.6895,0.5288,55.6802,,optuna-25
HV,S1_grain,OLS,2,0.1045,31.6001,0.2317,29.2693,-0.176,36.2129,648.4,none
HV,S1_grain,Ridge,2,0.2247,29.4039,0.2785,28.3648,0.0671,32.2527,642.5,optuna-25
HV,S1_grain,ElasticNet,2,0.2249,29.3987,0.2784,28.3661,0.0536,32.486,642.5,optuna-25
HV,S1_grain,SVR (RBF),2,0.3335,27.262,0.3448,27.0298,0.1183,31.3549,,optuna-25
HV,S1_grain,KRR (RBF),2,-15.6698,136.3395,-15.6738,136.3561,-15.6926,136.433,,optuna-25
HV,S1_grain,Random Forest,2,0.1501,30.7844,0.2269,29.3621,-0.0694,34.5327,,optuna-25
HV,S1_grain,XGBoost,2,0.1779,30.2769,0.1397,30.973,-0.046,34.1526,,optuna-25
HV,S1_grain,LightGBM,2,0.356,26.7974,0.3046,27.8458,0.1204,31.3181,,optuna-25
HV,S2_wen,OLS,8,-0.0539,34.2809,0.1393,30.9806,-0.8582,45.5207,686.4,none
HV,S2_wen,Ridge,8,0.1403,30.9613,0.2234,29.4277,-0.378,39.2002,676.7,optuna-25
HV,S2_wen,ElasticNet,8,0.1459,30.8604,0.2193,29.5061,-0.3424,38.6899,677.2,optuna-25
HV,S2_wen,SVR (RBF),8,0.2754,28.4244,0.3872,26.141,-0.9053,46.0931,,optuna-25
HV,S2_wen,KRR (RBF),8,-15.8138,136.9271,-15.7691,136.7452,-16.6531,140.3031,,optuna-25
HV,S2_wen,Random Forest,8,0.1146,31.4208,0.2661,28.6066,-0.7728,44.4613,,optuna-25
HV,S2_wen,XGBoost,8,0.3724,26.4545,0.4803,24.0733,-0.66,43.0241,,optuna-25
HV,S2_wen,LightGBM,8,0.2871,28.1957,0.4449,24.8786,-0.5757,41.9177,,optuna-25
HV,S3_wen_proc,OLS,11,0.0619,32.3423,0.2291,29.3202,-1.0514,47.8274,689.6,none
HV,S3_wen_proc,Ridge,11,0.1612,30.584,0.2671,28.5881,-0.5838,42.0254,684.9,optuna-25
HV,S3_wen_proc,ElasticNet,11,0.1665,30.4862,0.2661,28.6081,-0.551,41.5879,685.0,optuna-25
HV,S3_wen_proc,SVR (RBF),11,0.3016,27.9067,0.3719,26.4659,-0.8726,45.6966,,optuna-25
HV,S3_wen_proc,KRR (RBF),11,-15.8513,137.0797,-15.7759,136.7726,-16.5562,139.9174,,optuna-25
HV,S3_wen_proc,Random Forest,11,0.1365,31.03,0.2615,28.6965,-0.83,45.1734,,optuna-25
HV,S3_wen_proc,XGBoost,11,0.4276,25.2654,0.4861,23.9377,-0.7352,43.9879,,optuna-25
HV,S3_wen_proc,LightGBM,11,0.3205,27.5272,0.5505,22.3876,-0.4938,40.8131,,optuna-25
HV,S4_phys,OLS,24,-0.1297,35.4923,0.1765,30.3041,-1.2406,49.9852,754.9,none
HV,S4_phys,Ridge,24,0.1024,31.6368,0.2857,28.2229,-0.8001,44.8032,741.5,optuna-25
HV,S4_phys,ElasticNet,24,0.1064,31.5664,0.2813,28.3093,-0.8259,45.1226,742.1,optuna-25
HV,S4_phys,SVR (RBF),24,0.0989,31.6985,0.2259,29.3799,-1.117,48.5873,,optuna-25
HV,S4_phys,KRR (RBF),24,-15.9921,137.6513,-15.8963,137.2629,-15.3748,135.1277,,optuna-25
HV,S4_phys,Random Forest,24,0.0761,32.0968,0.2475,28.9667,-0.8734,45.7063,,optuna-25
HV,S4_phys,XGBoost,24,0.3791,26.3118,0.5208,23.1155,-0.6917,43.4332,,optuna-25
HV,S4_phys,LightGBM,24,0.3107,27.7243,0.4699,24.3118,-0.8142,44.9778,,optuna-25
