complexity,loss,equation,score,sympy_format,lambda_format,full_r2,full_mse
1,1115.0996,133.88081,0.0,133.880810000000,PySRFunction(X=>133.880810000000),-3.027094197527447e-08,1115.100148586311
3,1113.8728,d_inv_sqrt + 133.73117,0.0005503882075332052,d_inv_sqrt + 133.73117,PySRFunction(X=>d_inv_sqrt + 133.73117),0.0011003296293746745,1113.8731371351123
4,987.1397,sqrt(d_inv_sqrt * 117258.89),0.120786661406061,342.430854334127*sqrt(d_inv_sqrt),PySRFunction(X=>342.430854334127*sqrt(d_inv_sqrt)),0.11475203545649659,987.140106916529
5,926.9244,(d_inv_sqrt * 306.2385) + 86.738174,0.06293956059576367,d_inv_sqrt*306.2385 + 86.738174,PySRFunction(X=>d_inv_sqrt*306.2385 + 86.738174),0.16875194672378468,926.9247996615026
6,677.3676,(d_inv_sqrt * log(SD_GS)) * 265.986,0.31365789954035245,265.986*d_inv_sqrt*log(SD_GS),PySRFunction(X=>265.986*d_inv_sqrt*log(SD_GS)),0.3925497986175195,677.3677893158275
7,586.31635,sqrt(cube(d_inv_sqrt * 54.98714) * SD_GS),0.1443546189730449,407.747866684189*sqrt(SD_GS*d_inv_sqrt**3),PySRFunction(X=>407.747866684189*sqrt(SD_GS*d_inv_sqrt**3)),0.47420275966119285,586.3165630797214
9,531.76654,cube((d_inv_sqrt * 9.591784) - -1.4018201) * sqrt(SD_GS),0.048827465944819126,sqrt(SD_GS)*(9.591784*d_inv_sqrt + 1.4018201)**3,PySRFunction(X=>sqrt(SD_GS)*(9.591784*d_inv_sqrt + 1.4018201)**3),0.5231219437270098,531.7667753104812
10,515.36255,(-2318.7014 / SD_GS) + ((square(d_inv_sqrt) * 5036.2817) + 95.72325),0.03133392487093832,d_inv_sqrt**2*5036.2817 + 95.72325 - 2318.7014/SD_GS,PySRFunction(X=>d_inv_sqrt**2*5036.2817 + 95.72325 - 2318.7014/SD_GS),0.5378327299514584,515.3627759023418
11,447.96103,(((-434.29398 / SD_GS) + 4.349368) / d_inv_sqrt) + (d_inv_sqrt * 1321.7695),0.14016439154387586,d_inv_sqrt*1321.7695 + (4.349368 - 434.29398/SD_GS)/d_inv_sqrt,PySRFunction(X=>d_inv_sqrt*1321.7695 + (4.349368 - 434.29398/SD_GS)/d_inv_sqrt),0.5982770748864206,447.9612799244699
12,417.59006,((-455.71988 / SD_GS) / d_inv_sqrt) + (143.95126 + square(d_inv_sqrt * 60.93701)),0.07020600842113964,3713.3191877401*d_inv_sqrt**2 + 143.95126 - 455.71988/(SD_GS*d_inv_sqrt),PySRFunction(X=>3713.3191877401*d_inv_sqrt**2 + 143.95126 - 455.71988/(SD_GS*d_inv_sqrt)),0.6255131105530011,417.5903734251199
13,417.03363,((square(d_inv_sqrt) * 1560.0654) + 198.64548) + ((-71.19888 / SD_GS) / square(d_inv_sqrt)),0.001333367574165753,d_inv_sqrt**2*1560.0654 + 198.64548 - 71.19888/(SD_GS*(d_inv_sqrt**2)),PySRFunction(X=>d_inv_sqrt**2*1560.0654 + 198.64548 - 71.19888/(SD_GS*(d_inv_sqrt**2))),0.6260121854946661,417.03385490035987
14,371.34952,((-512.8295 / SD_GS) / d_inv_sqrt) + (150.72934 + square((HoldTime + -64.65294) * d_inv_sqrt)),0.11602314449563544,d_inv_sqrt**2*(HoldTime - 64.65294)**2 + 150.72934 - 512.8295/(SD_GS*d_inv_sqrt),PySRFunction(X=>d_inv_sqrt**2*(HoldTime - 64.65294)**2 + 150.72934 - 512.8295/(SD_GS*d_inv_sqrt)),0.6669809066768507,371.34962920561924
15,364.59268,((V_frac / cube(square(HoldTime))) + cube((d_inv_sqrt * 8.43679) - -1.5211873)) * sqrt(SD_GS),0.018362936286815346,sqrt(SD_GS)*((8.43679*d_inv_sqrt + 1.5211873)**3 + V_frac/HoldTime**6),PySRFunction(X=>sqrt(SD_GS)*((8.43679*d_inv_sqrt + 1.5211873)**3 + V_frac/HoldTime**6)),0.6730402454615083,364.5928598310465
16,327.14172,(((-490.48193 / SD_GS) / d_inv_sqrt) + square((-0.6994826 / HoldTime) - (d_inv_sqrt * 57.644577))) + 145.8976,0.1083873137421336,(-57.644577*d_inv_sqrt - 0.6994826/HoldTime)**2 + 145.8976 - 490.48193/(SD_GS*d_inv_sqrt),PySRFunction(X=>(-57.644577*d_inv_sqrt - 0.6994826/HoldTime)**2 + 145.8976 - 490.48193/(SD_GS*d_inv_sqrt)),0.7066255594935353,327.14187229729185
17,313.93585,((-476.55847 / SD_GS) / d_inv_sqrt) + (149.31738 + square((d_inv_sqrt * 57.194633) - cube(-0.5349615 / HoldTime))),0.041204805831159666,(d_inv_sqrt*57.194633 - (-1)*0.153097318391454/HoldTime**3)**2 + 149.31738 - 476.55847/(SD_GS*d_inv_sqrt),PySRFunction(X=>(d_inv_sqrt*57.194633 - (-1)*0.153097318391454/HoldTime**3)**2 + 149.31738 - 476.55847/(SD_GS*d_inv_sqrt)),0.7184683656939985,313.935957743232
19,300.70825,((-458.29495 / SD_GS) / d_inv_sqrt) + (square((d_inv_sqrt * 54.88281) + ((V_frac - -0.2609721) / square(HoldTime))) + 149.81439),0.021524070036203824,(d_inv_sqrt*54.88281 + (V_frac - 1*(-0.2609721))/(HoldTime**2))**2 + 149.81439 - 458.29495/(SD_GS*d_inv_sqrt),PySRFunction(X=>(d_inv_sqrt*54.88281 + (V_frac - 1*(-0.2609721))/(HoldTime**2))**2 + 149.81439 - 458.29495/(SD_GS*d_inv_sqrt)),0.7303306153934725,300.70836174119233
20,298.67422,(((square(d_inv_sqrt) * 1171.2893) + 200.22241) + (sqrt(V_frac) / cube(square(HoldTime)))) + ((-69.11951 / SD_GS) / square(d_inv_sqrt)),0.006787111435229808,1171.2893*d_inv_sqrt**2 + 200.22241 - 69.11951/(SD_GS*d_inv_sqrt**2) + sqrt(V_frac)/HoldTime**6,PySRFunction(X=>1171.2893*d_inv_sqrt**2 + 200.22241 - 69.11951/(SD_GS*d_inv_sqrt**2) + sqrt(V_frac)/HoldTime**6),0.7321546617797728,298.6743674063715
21,280.79785,((square(d_inv_sqrt) * RecrystT) + ((-68.47881 / SD_GS) / square(d_inv_sqrt))) + (cube((V_frac - -0.6683428) / square(HoldTime)) + 200.0232),0.0617183987384144,RecrystT*d_inv_sqrt**2 + 200.0232 - 68.47881/(SD_GS*(d_inv_sqrt**2)) + (V_frac - 1*(-0.6683428))**3/HoldTime**6,PySRFunction(X=>RecrystT*d_inv_sqrt**2 + 200.0232 - 68.47881/(SD_GS*(d_inv_sqrt**2)) + (V_frac - 1*(-0.6683428))**3/HoldTime**6),0.7481858395763543,280.79799920452444
22,265.33646,(square((Ni_frac + sqrt(V_frac)) / cube(HoldTime)) + (square(d_inv_sqrt) * 828.16364)) + (((-69.06762 / SD_GS) / square(d_inv_sqrt)) + 202.97493),0.0566363344007452,828.16364*d_inv_sqrt**2 + 202.97493 - 69.06762/(SD_GS*d_inv_sqrt**2) + (Ni_frac + sqrt(V_frac))**2/HoldTime**6,PySRFunction(X=>828.16364*d_inv_sqrt**2 + 202.97493 - 69.06762/(SD_GS*d_inv_sqrt**2) + (Ni_frac + sqrt(V_frac))**2/HoldTime**6),0.7620513645058765,265.3365507634197
23,264.03293,((sqrt(V_frac) + square(Ni_frac)) / cube(square(HoldTime))) + (((-68.47768 / SD_GS) / square(d_inv_sqrt)) + ((RecrystT * square(d_inv_sqrt)) + 200.02188)),0.004924850810384707,RecrystT*d_inv_sqrt**2 + 200.02188 - 68.47768/(SD_GS*d_inv_sqrt**2) + (Ni_frac**2 + sqrt(V_frac))/HoldTime**6,PySRFunction(X=>RecrystT*d_inv_sqrt**2 + 200.02188 - 68.47768/(SD_GS*d_inv_sqrt**2) + (Ni_frac**2 + sqrt(V_frac))/HoldTime**6),0.7632202896577412,264.0330821923463
24,260.1721,(((-67.12094 / SD_GS) / square(d_inv_sqrt)) + 197.71114) + (((square(d_inv_sqrt) * 844.60645) + HoldTime) + square((Ni_frac + sqrt(V_frac)) / cube(HoldTime))),0.014730495098061614,HoldTime + 844.60645*d_inv_sqrt**2 + 197.71114 - 67.12094/(SD_GS*d_inv_sqrt**2) + (Ni_frac + sqrt(V_frac))**2/HoldTime**6,PySRFunction(X=>HoldTime + 844.60645*d_inv_sqrt**2 + 197.71114 - 67.12094/(SD_GS*d_inv_sqrt**2) + (Ni_frac + sqrt(V_frac))**2/HoldTime**6),0.7666826515059542,260.172202097817
25,257.05045,((square(sqrt(V_frac) + Ni_frac) / cube(square(HoldTime))) + (square(d_inv_sqrt) * RecrystT)) + (HoldTime + (((-66.86094 / SD_GS) / square(d_inv_sqrt)) + 194.51172)),0.012070965985840988,HoldTime + RecrystT*d_inv_sqrt**2 + 194.51172 - 66.86094/(SD_GS*d_inv_sqrt**2) + (Ni_frac + sqrt(V_frac))**2/HoldTime**6,PySRFunction(X=>HoldTime + RecrystT*d_inv_sqrt**2 + 194.51172 - 66.86094/(SD_GS*d_inv_sqrt**2) + (Ni_frac + sqrt(V_frac))**2/HoldTime**6),0.7694820120940125,257.0506347846193
26,254.48907,(RecrystT * square(d_inv_sqrt)) + (cube((sqrt(V_frac) + Ni_frac) / square(HoldTime)) + ((((Mn_frac + (-66.28048 / SD_GS)) + -0.08699166) / square(d_inv_sqrt)) + 198.2846)),0.01001448101863686,RecrystT*d_inv_sqrt**2 + 198.2846 + (Mn_frac - 0.08699166 - 66.28048/SD_GS)/d_inv_sqrt**2 + (Ni_frac + sqrt(V_frac))**3/HoldTime**6,PySRFunction(X=>RecrystT*d_inv_sqrt**2 + 198.2846 + (Mn_frac - 0.08699166 - 66.28048/SD_GS)/d_inv_sqrt**2 + (Ni_frac + sqrt(V_frac))**3/HoldTime**6),0.7717790360316921,254.48922312794272
27,249.627,(((RecrystT * square(d_inv_sqrt)) + (square(sqrt(V_frac) + Ni_frac) / square(cube(HoldTime)))) + 184.21832) + (HoldTime + ((Mn_frac + (-63.320755 / SD_GS)) / square(d_inv_sqrt))),0.01929008439160683,HoldTime + RecrystT*d_inv_sqrt**2 + 184.21832 + (Mn_frac - 63.320755/SD_GS)/d_inv_sqrt**2 + (Ni_frac + sqrt(V_frac))**2/HoldTime**6,PySRFunction(X=>HoldTime + RecrystT*d_inv_sqrt**2 + 184.21832 + (Mn_frac - 63.320755/SD_GS)/d_inv_sqrt**2 + (Ni_frac + sqrt(V_frac))**2/HoldTime**6),0.7761392416539343,249.62715733789284
28,245.24966,(((((-61.3339 / SD_GS) + Mn_frac) / square(d_inv_sqrt)) + 181.9444) + (square(Ni_frac + sqrt(V_frac)) / cube(square(HoldTime)))) + ((cube(HoldTime) + RecrystT) * square(d_inv_sqrt)),0.017691091617867694,d_inv_sqrt**2*(HoldTime**3 + RecrystT) + 181.9444 + (Mn_frac - 61.3339/SD_GS)/d_inv_sqrt**2 + (Ni_frac + sqrt(V_frac))**2/HoldTime**6,PySRFunction(X=>d_inv_sqrt**2*(HoldTime**3 + RecrystT) + 181.9444 + (Mn_frac - 61.3339/SD_GS)/d_inv_sqrt**2 + (Ni_frac + sqrt(V_frac))**2/HoldTime**6),0.7800648071604424,245.2497587908084
29,242.57462,(square(sqrt(V_frac) + Ni_frac) / square(cube(HoldTime))) + (HoldTime + (((((Mn_frac + (-65.5458 / SD_GS)) + -0.06490352) / square(d_inv_sqrt)) + 191.2205) + (square(d_inv_sqrt) * RecrystT))),0.010967337719723119,HoldTime + RecrystT*d_inv_sqrt**2 + 191.2205 + (Mn_frac - 0.06490352 - 65.5458/SD_GS)/d_inv_sqrt**2 + (Ni_frac + sqrt(V_frac))**2/HoldTime**6,PySRFunction(X=>HoldTime + RecrystT*d_inv_sqrt**2 + 191.2205 + (Mn_frac - 0.06490352 - 65.5458/SD_GS)/d_inv_sqrt**2 + (Ni_frac + sqrt(V_frac))**2/HoldTime**6),0.7824636907245739,242.57476345297883
